run,latency_sec,speedup,aesthetic_quality,background_consistency,dynamic_degree,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,avg_8dims
baseline,84.093061,1.0,0.6143532764911651,0.993342399597168,0.42105263157894735,0.7015864276827299,0.9797691087355264,0.22721988100558518,0.3333333333333333,0.9750959200441445,0.655719122308575
H2S2,45.16118,1.8620651851878096,0.6178156948089599,0.9938583374023438,0.42105263157894735,0.7003487946260892,0.9790792788617878,0.22396172281354665,0.3333333333333333,0.9769236484395438,0.655796680233069
H2S4,38.147454,2.204421322586823,0.6222057032585144,0.9942490259806315,0.42105263157894735,0.6986270981773965,0.9781875555304552,0.22139349386096,0.3177083333333333,0.9791077510943931,0.6540664491018289
H2S6,35.734662,2.3532630866915714,0.6176919734477997,0.9938983917236328,0.42105263157894735,0.6954701405921351,0.9781507138233609,0.22205913342535497,0.3333333333333333,0.9794134356718707,0.6551337191995543
H2S8,34.263257,2.4543218702180005,0.616180704832077,0.9933710098266602,0.42105263157894735,0.6930817681415262,0.9772583899385647,0.2213876488804817,0.3020833333333333,0.9801774244069269,0.6505741138673147
H3S2,45.384641,1.852896908449711,0.608241457939148,0.9901126225789388,0.42105263157894735,0.7013851490901065,0.9798450646572011,0.22512246593832969,0.3333333333333333,0.9755341114819442,0.6543283545747436
H3S4,38.514016,2.1834404648946504,0.6112284016609192,0.9843505223592123,0.42105263157894735,0.6982600136624848,0.9780390583568037,0.22354557625949384,0.3333333333333333,0.9761559637753587,0.6532456876233191
threshold0.18,40.626743,2.0698942319840903,0.6123965394496917,0.9930175145467123,0.42105263157894735,0.6977474177668644,0.9794502673468295,0.22317571252584456,0.3333333333333333,0.9780345933609887,0.6547760012386514
threshold0.12,42.713447,1.9687725273027017,0.611611545085907,0.9921700159708658,0.42105263157894735,0.6978842098764272,0.9794641927169471,0.22331641264259816,0.3333333333333333,0.977873307628263,0.654588206104161
H3S6,38.384508,2.190807317368768,0.6031968998908996,0.9917507171630859,0.42105263157894735,0.698639312110314,0.9791817839162716,0.22362138986587524,0.3177083333333333,0.9781722044817319,0.6516654090425573
threshold0.24,38.568054,2.180381229501494,0.6132926499843597,0.9929288228352865,0.42105263157894735,0.6977200965998722,0.9792765053019299,0.22315363481640815,0.3333333333333333,0.9778370033508461,0.6548243347251228
threshold0.30,39.596602,2.1237443808940983,0.611232967376709,0.9927326838175455,0.42105263157894735,0.6973541512357273,0.9795472913610521,0.22293326027691365,0.3333333333333333,0.9779793761033369,0.6545207118854457
H3S8,36.522033,2.3025295716697918,0.6126930558681488,0.9913101196289062,0.47368421052631576,0.6933042322012095,0.9753384256184163,0.22248338401317597,0.3020833333333333,0.974842872201024,0.6557174541738162
