method,config,average_prompt_time_sec,speedup_vs_baseline_total,speedup_vs_baseline_avg_prompt,avg_psnr,avg_ssim,avg_lpips,available_dim_count,quality_dim_count,semantic_dim_count,quality_score_all_available_4to1,semantic_score_all_available_4to1,total_score_all_available_4to1,quality_score_8dim_4to1,semantic_score_8dim_4to1,total_score_8dim_4to1,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,aesthetic_quality,imaging_quality,dynamic_degree,object_class,multiple_objects,human_action,color,spatial_relationship,scene,appearance_style,temporal_style,overall_consistency,eval_dir,generation_dir,num_prompts,total_elapsed_sec
Baseline,subset_random_n30_seed1234,84.511633,1.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Baseline/20260505_202518/subset_random_n30_seed1234/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Baseline/20260505_202518/subset_random_n30_seed1234/generated,30,2535.349000
25steps,25steps,47.783926,1.768621,1.768621,14.518832,0.505363,0.408343,8,6,2,0.818931,0.298405,0.714825,0.818931,0.298405,0.714825,0.974461,0.990688,,0.974192,0.598453,0.653145,0.750000,,,,,,0.000000,,,0.217239,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/25steps/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/25steps/generated,30,1433.517791
DMD,H2S1G0.1,55.508977,1.522486,1.522486,30.697227,0.938112,0.031962,8,6,2,0.825951,0.285282,0.717817,0.825951,0.285282,0.717817,0.961637,0.985102,,0.978082,0.614308,0.685143,0.750000,,,,,,0.000000,,,0.207685,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S1G0.1/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S1G0.1/generated,30,1665.269312
DMD,H2S1G0.2,55.484975,1.523144,1.523144,30.697227,0.938112,0.031962,8,6,2,0.825951,0.285282,0.717817,0.825951,0.285282,0.717817,0.961637,0.985102,,0.978082,0.614308,0.685143,0.750000,,,,,,0.000000,,,0.207685,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S1G0.2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S1G0.2/generated,30,1664.549237
DMD,H2S1G0.3,55.247676,1.529687,1.529687,30.697227,0.938112,0.031962,8,6,2,0.825951,0.285282,0.717817,0.825951,0.285282,0.717817,0.961637,0.985102,,0.978082,0.614308,0.685143,0.750000,,,,,,0.000000,,,0.207685,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S1G0.3/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S1G0.3/generated,30,1657.430270
DMD,H2S1G0.4,55.047907,1.535238,1.535238,30.697227,0.938112,0.031962,8,6,2,0.825951,0.285282,0.717817,0.825951,0.285282,0.717817,0.961637,0.985102,,0.978082,0.614308,0.685143,0.750000,,,,,,0.000000,,,0.207685,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S1G0.4/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S1G0.4/generated,30,1651.437195
DMD,H2S2G0.1,45.975642,1.838183,1.838183,28.181447,0.908474,0.050578,8,6,2,0.825421,0.286198,0.717576,0.825421,0.286198,0.717576,0.964324,0.985773,,0.977575,0.610468,0.683751,0.750000,,,,,,0.000000,,,0.208352,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S2G0.1/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S2G0.1/generated,30,1379.269260
DMD,H2S2G0.2,45.981030,1.837967,1.837967,28.181447,0.908474,0.050578,8,6,2,0.825421,0.286198,0.717576,0.825421,0.286198,0.717576,0.964324,0.985773,,0.977575,0.610468,0.683751,0.750000,,,,,,0.000000,,,0.208352,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S2G0.2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S2G0.2/generated,30,1379.430914
DMD,H2S2G0.3,45.963858,1.838654,1.838654,28.181447,0.908474,0.050578,8,6,2,0.825421,0.286198,0.717576,0.825421,0.286198,0.717576,0.964324,0.985773,,0.977575,0.610468,0.683751,0.750000,,,,,,0.000000,,,0.208352,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S2G0.3/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S2G0.3/generated,30,1378.915731
DMD,H2S2G0.4,46.074049,1.834257,1.834257,28.181447,0.908474,0.050578,8,6,2,0.825421,0.286198,0.717576,0.825421,0.286198,0.717576,0.964324,0.985773,,0.977575,0.610468,0.683751,0.750000,,,,,,0.000000,,,0.208352,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S2G0.4/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S2G0.4/generated,30,1382.221480
DMD,H2S3G0.1,41.849354,2.019425,2.019425,26.488678,0.874685,0.078257,8,6,2,0.827761,0.288698,0.719948,0.827761,0.288698,0.719948,0.963641,0.989035,,0.977036,0.622800,0.682518,0.750000,,,,,,0.000000,,,0.210172,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S3G0.1/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S3G0.1/generated,30,1255.480606
DMD,H2S3G0.2,41.401932,2.041249,2.041249,26.488678,0.874685,0.078257,8,6,2,0.827761,0.288698,0.719948,0.827761,0.288698,0.719948,0.963641,0.989035,,0.977036,0.622800,0.682518,0.750000,,,,,,0.000000,,,0.210172,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S3G0.2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S3G0.2/generated,30,1242.057970
DMD,H2S3G0.3,41.208605,2.050825,2.050825,26.488678,0.874685,0.078257,8,6,2,0.827761,0.288698,0.719948,0.827761,0.288698,0.719948,0.963641,0.989035,,0.977036,0.622800,0.682518,0.750000,,,,,,0.000000,,,0.210172,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/DMD/20260505_212804/H2S3G0.3/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/DMD/20260505_212804/H2S3G0.3/generated,30,1236.258165
