model,metric,step,mean,p10,p90,count
FLUX.1-dev,cosine_mean,1,0.9396838874959234,0.8765161037445068,0.9804380536079407,201
FLUX.1-dev,cosine_mean,2,0.9704588577521974,0.9428544640541077,0.992823600769043,201
FLUX.1-dev,cosine_mean,3,0.9730307293768546,0.9478720426559448,0.9925218820571899,201
FLUX.1-dev,cosine_mean,4,0.9834367662519958,0.9643504619598389,0.9959128499031067,201
FLUX.1-dev,cosine_mean,5,0.990869632704341,0.9837212562561035,0.997703492641449,201
FLUX.1-dev,cosine_mean,6,0.9922345197615932,0.9847723245620728,0.9982978701591492,201
FLUX.1-dev,cosine_mean,7,0.9946159145132226,0.9888308644294739,0.9988828301429749,201
FLUX.1-dev,cosine_mean,8,0.9962644654126903,0.9917447566986084,0.9991308450698853,201
FLUX.1-dev,cosine_mean,9,0.9971067694882255,0.9939897060394287,0.9993217587471008,201
FLUX.1-dev,cosine_mean,10,0.9975354638858814,0.9948112964630127,0.9994813799858093,201
FLUX.1-dev,cosine_mean,11,0.9979404163597828,0.9955565929412842,0.9995902180671692,201
FLUX.1-dev,cosine_mean,12,0.997891700979489,0.9963130354881287,0.9991206526756287,201
FLUX.1-dev,cosine_mean,13,0.9987311467009398,0.9974141716957092,0.9997368454933167,201
FLUX.1-dev,cosine_mean,14,0.998900251602059,0.9977198839187622,0.9997530579566956,201
FLUX.1-dev,cosine_mean,15,0.9990124272469857,0.9980500936508179,0.9997314810752869,201
FLUX.1-dev,cosine_mean,16,0.9991606334548685,0.9983392357826233,0.999760627746582,201
FLUX.1-dev,cosine_mean,17,0.9991936553176956,0.9984678030014038,0.9997417330741882,201
FLUX.1-dev,cosine_mean,18,0.984151661099486,0.9776855707168579,0.9903532266616821,201
FLUX.1-dev,cosine_mean,19,0.999184271885981,0.9983665347099304,0.999812662601471,201
FLUX.1-dev,cosine_mean,20,0.999224352895917,0.9984740614891052,0.9998525977134705,201
FLUX.1-dev,cosine_mean,21,0.9992930100331852,0.9987280368804932,0.999850332736969,201
FLUX.1-dev,cosine_mean,22,0.999297050101247,0.9986039400100708,0.9998357892036438,201
FLUX.1-dev,cosine_mean,23,0.9993964831034342,0.9988396167755127,0.9998294711112976,201
FLUX.1-dev,cosine_mean,24,0.9993707623647813,0.9987565875053406,0.9998496770858765,201
FLUX.1-dev,cosine_mean,25,0.9994425302121177,0.9989423751831055,0.9998513460159302,201
FLUX.1-dev,cosine_mean,26,0.9993610008439021,0.9987903237342834,0.999825656414032,201
FLUX.1-dev,cosine_mean,27,0.9994462203623643,0.9989011883735657,0.9998795390129089,201
FLUX.1-dev,cosine_mean,28,0.9994277547841048,0.9989510178565979,0.9998570084571838,201
FLUX.1-dev,cosine_mean,29,0.9994369751185327,0.9989373087882996,0.9998689293861389,201
FLUX.1-dev,cosine_mean,30,0.9993666822637491,0.9987245202064514,0.9998382329940796,201
FLUX.1-dev,cosine_mean,31,0.9994397777229992,0.9989570379257202,0.9998346567153931,201
FLUX.1-dev,cosine_mean,32,0.999310266319199,0.9987185001373291,0.9997880458831787,201
FLUX.1-dev,cosine_mean,33,0.9993485268668749,0.99882572889328,0.9998093843460083,201
FLUX.1-dev,cosine_mean,34,0.9993873804955933,0.9989118576049805,0.9998331665992737,201
FLUX.1-dev,cosine_mean,35,0.999393825210742,0.9989137053489685,0.9998234510421753,201
